   z        r        Bz       Br       Btot
   27.00     3.00 -4.11645  0.07362  4.11711
   28.00     3.00 -4.06355  0.07874  4.06431
   29.00     3.00 -4.01133  0.08213  4.01217
   30.00     3.00 -3.95632  0.08554  3.95724
   31.00     3.00 -3.89621  0.08929  3.89723
   32.00     3.00 -3.83610  0.09305  3.83723
   33.00     3.00 -3.77423  0.09747  3.77549
   34.00     3.00 -3.70774  0.10052  3.70911
   35.00     3.00 -3.64072  0.10430  3.64221
   36.00     3.00 -3.56762  0.10785  3.56925
   37.00     3.00 -3.49397  0.11124  3.49574
   38.00     3.00 -3.41849  0.11518  3.42043
   39.00     3.00 -3.34037  0.11809  3.34246
   40.00     3.00 -3.26231  0.12096  3.26455
   41.00     3.00 -3.17917  0.12458  3.18161
   42.00     3.00 -3.09712  0.12599  3.09968
   43.00     3.00 -3.01154  0.12699  3.01422
   44.00     3.00 -2.92589  0.12829  2.92870
   45.00     3.00 -2.83935  0.13011  2.84233
   46.00     3.00 -2.75193  0.13025  2.75501
   47.00     3.00 -2.66484  0.13053  2.66804
   48.00     3.00 -2.57810  0.13024  2.58138
   49.00     3.00 -2.49084  0.12959  2.49421
   50.00     3.00 -2.40409  0.12851  2.40752
   51.00     3.00 -2.31884  0.12663  2.32230
   52.00     3.00 -2.23501  0.12499  2.23851
   53.00     3.00 -2.15214  0.12263  2.15563
   54.00     3.00 -2.07036  0.12018  2.07385
   55.00     3.00 -1.99100  0.11760  1.99447
   56.00     3.00 -1.91423  0.11455  1.91766
   57.00     3.00 -1.83910  0.11110  1.84245
   58.00     3.00 -1.76550  0.10799  1.76880
   59.00     3.00 -1.69370  0.10369  1.69688
   60.00     3.00 -1.62596  0.10093  1.62909
   61.00     3.00 -1.55923  0.09743  1.56228
   62.00     3.00 -1.49615  0.09300  1.49904
   63.00     3.00 -1.43466  0.09002  1.43748
   64.00     3.00 -1.37675  0.08680  1.37948
   65.00     3.00 -1.31934  0.08347  1.32198
   66.00     3.00 -1.26652  0.07876  1.26897
   67.00     3.00 -1.21534  0.07599  1.21771
   68.00     3.00 -1.16452  0.07380  1.16686
   69.00     3.00 -1.11636  0.06975  1.11854
   70.00     3.00 -1.07229  0.06566  1.07429
   71.00     3.00 -1.02880  0.06325  1.03074
   72.00     3.00 -0.98579  0.06101  0.98768
   73.00     3.00 -0.94641  0.05819  0.94820
   74.00     3.00 -0.90824  0.05496  0.90990
   75.00     3.00 -0.87326  0.05288  0.87486
   76.00     3.00 -0.83870  0.05066  0.84023
   77.00     3.00 -0.80602  0.04847  0.80748
   78.00     3.00 -0.77410  0.04641  0.77549
   79.00     3.00 -0.74430  0.04336  0.74557
   80.00     3.00 -0.71683  0.04120  0.71801
   81.00     3.00 -0.68925  0.04000  0.69041
   82.00     3.00 -0.66303  0.03820  0.66413
   83.00     3.00 -0.63864  0.03615  0.63966
   84.00     3.00 -0.61474  0.03479  0.61572
   85.00     3.00 -0.59132  0.03311  0.59225
   86.00     3.00 -0.57081  0.03195  0.57170
   87.00     3.00 -0.54973  0.03043  0.55057
   88.00     3.00 -0.53029  0.02866  0.53106
   89.00     3.00 -0.51183  0.02738  0.51256
   90.00     3.00 -0.49330  0.02614  0.49399
   91.00     3.00 -0.47627  0.02524  0.47693
   92.00     3.00 -0.46001  0.02404  0.46064
   93.00     3.00 -0.44486  0.02309  0.44546
   94.00     3.00 -0.42972  0.02213  0.43029
   95.00     3.00 -0.41522  0.02113  0.41576
   96.00     3.00 -0.40169  0.02023  0.40220
   97.00     3.00 -0.38812  0.01938  0.38860
   98.00     3.00 -0.37543  0.01848  0.37588
   99.00     3.00 -0.36339  0.01764  0.36382
  100.00     3.00 -0.35170  0.01724  0.35212
  101.00     3.00 -0.34065  0.01648  0.34105
  102.00     3.00 -0.32962  0.01558  0.32999
  103.00     3.00 -0.31966  0.01505  0.32001
  104.00     3.00 -0.30978  0.01450  0.31012
  105.00     3.00 -0.30046  0.01388  0.30078
